id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,-11.257111,5.683715,-13.213411,12.84608,13.147082,-7.5274434,-13.042057,1.1925349,13.19685,20.241226,17.187454,-11.429031,32.68,-7.5377607,6.9136295,-7.395851,-30.640446,15.564329,0.01859808,-31.532017,2.328077,-15.221125,2.3730621,6.641114,0.33017075,11.908602,6.5309954,-16.444979,-5.7940893,-19.171595,-4.504744,8.545722,-17.318151,-13.418214,14.877491,4.246204,-8.460434,-16.423151,0.15774278,1.5915296,-9.780278,-10.698581,-11.679536,4.563209,14.398804,14.835527,24.201748,0.45596057,4.772436,-32.621887,-4.8070154,36.947525,14.524945,-9.540696,14.443398,-18.658894,0.30889404,-16.743961,13.557985,2.12774,-40.4893,15.924697,21.969707,17.554995,14.766671,-22.471498,-7.236814,-24.510735,-10.788746,6.801348,-13.355955,3.8136625,-12.734534,7.063403,-10.052093,7.546286,-1.999352,-27.354628,12.645008,28.0415,15.497056,-19.277708,-7.130097,10.743109,-13.780103,0.24190253,-19.303642,-22.376617,-18.928152,-2.6801157,-46.78834,18.513243,-0.86502796,5.1971736,-4.8895106,-8.791077,23.150488,-32.363144,-0.6815292
7,-0.7755858,-6.369949,1.4287419,-4.5724134,-11.043237,-1.6090226,-1.0680788,-2.430943,-4.7088976,-6.6726723,-9.682027,-2.8199959,-7.802455,11.014965,-5.3100586,-23.923952,9.529274,-3.6283932,-2.8074298,14.597057,-7.992915,-8.330205,3.1977444,-6.2871013,6.3201838,-20.069645,-15.794908,-6.2745047,-8.205481,13.501303,14.488237,-13.1859045,-1.8237412,2.016777,-9.618845,-4.821647,-8.446529,9.307661,5.4050665,-8.848554,1.239452,-5.780002,3.3267775,19.514872,-1.7125579,-5.460727,-4.7738786,8.9878435,7.1754713,12.008577,14.567671,-16.860243,-10.298676,23.968788,18.688805,14.577311,7.199379,12.272249,-5.9193487,7.1931124,9.578599,-11.781075,-14.995686,-0.18387184,-13.350302,-1.9227726,-1.5591116,12.931893,12.912537,13.333461,-9.692573,-0.30810258,-14.721117,-9.644597,10.12896,-3.9601984,-2.923985,3.3469765,6.8399143,-8.465951,-10.091593,3.2680655,2.3191786,-2.0527372,20.493607,10.905262,14.315926,-0.20764041,-4.1451383,-9.430662,3.2241716,-11.85281,-5.998808,-3.1854684,-12.286061,4.053872,-7.567043,-0.38998544,6.736961
9,-0.5978503,29.51229,-13.603619,23.032824,26.054783,5.5818253,26.52441,13.586641,14.032883,19.068705,12.259723,18.042864,-17.775555,-2.2696471,14.904723,-0.9226434,3.9829016,14.684955,-31.169304,-19.174044,18.724295,1.8346906,-9.239669,6.94563,-28.013397,13.0277605,21.956871,-35.22063,-6.2315545,-13.647923,-3.840515,8.632602,-7.4661922,-4.4293165,-7.337414,12.459184,15.768035,-20.480022,-19.258833,-3.8960202,-20.319689,3.1846619,-16.73212,2.7251253,11.5850115,13.37682,25.31965,-24.525293,-2.4553933,-10.064949,-2.6475363,-1.728615,-5.8903074,-3.5590081,-9.29431,-12.153686,-15.144751,-19.472773,5.821521,1.2371137,-4.3927674,-3.8412783,-9.024246,15.411447,-26.167244,-2.2175794,-8.068426,-29.78488,-13.628683,-21.121384,-26.033258,10.178407,-15.354771,-12.844546,-7.566164,-11.07087,-10.052996,-21.463346,20.123245,12.543623,10.320121,-18.110367,-11.937182,0.17271721,-7.2632213,11.1119795,-10.638007,-39.369614,-20.05347,-10.05692,-6.7634325,-2.5529306,17.849277,8.145249,26.820602,-10.9113655,-7.1391325,-0.797034,-11.782588
12,-10.999024,-2.724268,2.0563006,-1.9327741,-5.7426376,-3.5080078,2.4528108,6.0899253,1.4581518,-0.24058354,-10.430459,11.508864,-7.5421734,6.2415204,-4.2880807,-14.824081,23.60124,-5.193924,17.157906,38.83319,-12.459776,-1.9757205,5.887365,-27.01624,0.9204937,-9.413516,-10.7619,-0.8116342,-19.479229,-2.3935523,-9.940929,-13.0804405,0.3446911,-3.178269,-16.468502,-2.4410114,-5.1012177,3.6612802,-18.639503,-21.938198,-7.3383193,5.49716,4.654807,0.18722892,-15.200481,-12.992247,-10.709353,14.639159,2.7483556,18.725025,6.0333905,-21.90321,-11.921076,10.051048,15.869687,14.429388,11.856162,10.547039,-6.1147785,5.9942775,11.228556,-12.012954,-15.348714,-3.04313,-11.624436,14.889866,4.177996,20.460192,20.254072,1.6816255,5.954284,1.9814569,-5.1897683,-0.7997178,15.044881,-1.9389166,16.501934,26.299133,0.30984837,-17.215088,-1.2771351,1.7434541,0.7615738,4.5394564,23.04859,-3.2906961,27.38029,16.754625,10.285299,-1.7666655,13.225301,-6.1754284,-8.347822,-13.748175,-12.707504,5.4761753,-7.94159,7.103489,-13.606392
13,-20.623825,19.595306,-25.63792,7.5804663,9.215589,-8.219131,0.9146712,-5.270352,2.3515592,16.136574,26.137398,10.649445,2.2621558,10.298766,38.829437,-11.466572,-17.4633,24.931541,-8.732767,-33.50731,28.357246,-11.915856,5.0317593,8.760114,-25.388765,17.550055,34.97413,-17.499844,-19.53231,-37.35039,-7.525967,20.6139,-14.875497,-16.61717,4.130571,-1.1248171,0.30377817,-39.15334,-26.207163,-10.087516,-33.059242,-6.528988,-18.565903,2.9329095,21.079914,26.92113,26.90604,-1.4877756,16.934605,-19.452658,-1.5665245,10.266585,20.336962,-6.293237,-16.677994,-36.97277,-7.2728605,-10.791977,25.62231,2.2546558,-30.36166,-5.4396954,13.817875,22.401176,-10.285651,-17.455898,-11.933895,-43.43363,-17.967064,1.1784844,-38.440723,-4.6157794,-31.166431,-3.8702035,-9.778835,10.082158,-1.2675475,-29.861088,23.893894,22.33038,28.160965,-16.973495,2.1287282,-1.9580847,-20.917309,2.2135391,-4.2952967,-44.997475,-22.792198,-3.264741,-46.522682,28.679478,11.72346,18.449873,13.9201145,0.20708627,-9.760424,-22.595818,-18.704115
16,28.760008,31.59453,-15.616511,85.46361,31.003927,-9.796058,43.10093,46.594604,20.3632,19.263834,11.792521,39.057617,-4.021733,-27.337238,1.1136596,35.572906,29.39739,-33.532383,-51.45406,-2.3468919,-10.31047,63.6994,-45.425835,-27.337517,-32.150826,12.078639,9.402226,-31.90506,27.613293,26.242247,-22.889923,-38.59703,23.2775,-8.2019825,-47.6037,18.471483,29.082916,-21.109882,-20.862415,-23.028599,-33.952766,50.15416,-13.75909,-21.093895,-25.822523,10.576056,11.357288,-61.130737,-44.260223,25.050867,-22.326544,10.284124,-23.375301,-1.1653757,3.1095276,24.57621,-40.393246,-31.689445,-23.619637,34.020363,32.536674,21.323648,-10.565674,8.398138,5.369588,14.115452,-22.852875,-17.210398,-3.200989,-45.80717,-12.4597225,42.758476,1.5398154,16.441442,-32.93424,-14.490695,-9.095208,4.1581645,-13.027489,3.0683494,11.261655,-44.704243,-40.178814,4.7768936,-16.016998,10.236479,-11.880955,-27.734613,3.5210867,2.95091,63.82683,-14.792879,53.536697,2.2936535,27.46785,-25.784546,-6.4425945,10.8572235,-0.08811368
19,9.56339,35.58512,-19.192795,69.621414,22.661871,-15.504807,39.84473,42.512444,22.506815,24.367292,11.08377,35.830463,-12.975356,-24.09606,7.4094553,28.197752,20.865952,-28.921215,-54.64098,-5.2455187,-4.3785553,38.79873,-35.528084,-21.853756,-28.64035,20.43512,17.597252,-27.97601,14.602124,18.290426,-11.737563,-19.451817,18.315931,-3.9073117,-35.00715,1.8064594,23.577204,-19.282017,-29.167797,-20.945513,-33.69746,30.715248,-19.763182,-24.174715,-23.751108,24.640907,25.57618,-56.598564,-32.040318,5.133465,-14.776977,10.554838,-16.454578,5.1844387,2.5803869,3.3346126,-28.240814,-27.875246,-21.291191,25.541681,15.696496,14.8110695,-15.532753,15.949807,0.7539644,18.232422,-32.19382,-22.716263,13.901938,-34.990997,-25.251629,27.93232,-5.5866814,17.047731,-29.087328,-10.062532,4.67457,-16.808762,0.8685845,3.2950428,18.11832,-35.874332,-28.94033,5.2321663,-8.768535,5.727755,-4.6594048,-28.355438,-4.4625998,-12.744934,45.984478,-14.76199,38.284058,-3.5609314,24.838966,-37.153603,-5.4387174,1.4885471,-15.237356
23,-0.31256798,-4.631023,19.929356,0.92415404,1.5950372,8.83061,6.565855,5.5222726,-4.9582014,0.6237915,-10.084917,-3.8464763,-9.028533,-10.924151,-14.176136,4.9023166,11.633052,-10.1705065,-9.012161,7.0586724,-16.960255,3.3433092,2.7534595,-6.896966,11.313577,-10.302185,-16.759699,-3.7568834,22.74995,30.213749,8.111141,-10.4287195,-3.5789354,1.2797304,-5.1064796,13.303345,-3.7910824,15.4879055,8.274218,1.3220258,12.80202,-0.033112377,1.0677254,7.362074,-10.331591,-5.8193703,-5.654998,-3.9422693,-12.47975,8.512243,3.6934257,-5.5653486,-12.519585,2.5815275,6.8307056,24.478703,-3.3709946,2.941186,-18.426863,8.545847,7.7600923,1.5405664,-14.806481,-2.5605392,-8.230975,7.890289,0.15554102,16.309679,9.69604,4.9722834,13.400056,11.066563,9.2659235,-8.065582,-1.795183,-12.461422,0.3428256,9.705875,-1.8049688,-8.185924,-4.8048115,0.5315145,3.3335726,-1.5867419,23.510023,1.9886708,2.7706296,7.0947914,6.0382323,-4.1958714,21.425154,-16.018852,-7.076907,-1.2105856,-8.830257,-4.9320908,2.7258046,2.9290965,0.4012763
24,-4.439883,-8.608086,1.0371997,-7.29261,-6.258618,-3.3514411,-3.3884099,-3.5429103,-2.1436832,-4.3644524,-6.7874937,-10.078066,-4.7413735,-1.6679803,-8.959454,-8.754245,7.9643464,-8.282402,12.26453,13.528092,-17.68409,-6.1876426,2.852655,-14.537612,7.756415,-18.3375,-17.100504,-1.5682275,1.0241494,18.197552,6.1062503,-14.593443,-2.664405,-3.5886326,-5.536342,1.2749046,-5.8945675,11.379468,4.721096,-7.1681147,4.191259,-7.58568,5.6542106,7.257863,-7.8125887,-8.075183,-6.4189405,16.588337,-0.73257965,14.688558,3.4146786,-8.378414,-8.973792,10.256276,18.99669,17.732761,20.098082,14.041867,-9.670746,10.923579,-1.3959844,-4.511561,-12.775307,5.8834844,-0.79488945,0.16882068,-0.4336122,20.576492,13.672659,18.501534,9.842827,2.3303585,9.294779,-5.243697,5.995223,-2.8167198,7.379999,14.916609,7.1959205,-7.9097958,-4.538329,1.5238496,11.195797,-0.9946713,28.92071,0.78342104,14.250563,18.71826,9.293516,1.3391364,10.637003,-9.5917,-7.795601,-3.7053986,-12.997776,-4.8583655,-0.88393295,-12.677586,-2.8089821
28,-17.394949,33.56733,-17.549215,35.523216,20.070148,0.97763276,21.85918,45.964424,62.40877,23.804108,45.62596,6.81561,-3.0088592,-3.4317687,8.870634,10.480638,-12.247139,7.098123,-19.741848,-14.775793,9.743154,-9.973899,-18.372042,-19.462801,-16.418222,6.60682,26.67491,-20.87179,-0.8407744,-18.279936,-8.175517,2.896915,-20.488184,-9.509499,-25.366285,20.368816,10.080519,-22.036484,-32.834557,-16.24659,-28.707935,-12.758749,-15.770782,-19.46087,0.27962732,18.491594,43.854492,-20.21518,-3.4601417,-7.9591737,-11.070998,13.383659,-19.020298,1.9737363,11.630215,-13.134902,-11.160505,-22.52792,-9.371801,4.2452793,-16.718483,16.631855,-5.751019,25.596546,-3.5679877,-8.788279,-19.106125,-34.005985,-3.1728306,-6.7864914,-37.509453,28.24219,-12.649626,24.416943,-0.6154672,-10.470105,4.3519573,-28.503365,13.402757,3.7978013,25.021132,-30.152996,-23.531256,23.00656,-5.6889973,3.5102377,12.802631,-33.301083,-0.8270016,-7.211405,-9.033135,6.0294642,31.683744,-3.7941186,11.562594,-33.194695,4.4097576,-16.184525,-21.751696
